,/lpc/nct6779d/control/0,/lpc/nct6779d/control/1,/lpc/nct6779d/control/2,/lpc/nct6779d/control/3,/lpc/nct6779d/control/4,/lpc/nct6779d/voltage/0,/lpc/nct6779d/voltage/1,/lpc/nct6779d/voltage/2,/lpc/nct6779d/voltage/3,/lpc/nct6779d/voltage/4,/lpc/nct6779d/voltage/6,/lpc/nct6779d/voltage/7,/lpc/nct6779d/voltage/8,/lpc/nct6779d/voltage/9,/lpc/nct6779d/voltage/10,/lpc/nct6779d/voltage/11,/lpc/nct6779d/voltage/12,/lpc/nct6779d/voltage/13,/lpc/nct6779d/voltage/14,/lpc/nct6779d/temperature/0,/lpc/nct6779d/temperature/1,/lpc/nct6779d/temperature/2,/lpc/nct6779d/temperature/3,/lpc/nct6779d/temperature/4,/lpc/nct6779d/temperature/5,/lpc/nct6779d/temperature/6,/lpc/nct6779d/fan/1,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/temperature/3,/intelcpu/0/temperature/4,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/clock/3,/intelcpu/0/clock/4,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/nvidiagpu/0/temperature/0,/nvidiagpu/0/clock/0,/nvidiagpu/0/clock/1,/nvidiagpu/0/clock/2,/nvidiagpu/0/load/0,/nvidiagpu/0/load/1,/nvidiagpu/0/load/2,/nvidiagpu/0/load/3,/nvidiagpu/0/control/0,/nvidiagpu/0/smalldata/3,/nvidiagpu/0/smalldata/2,/nvidiagpu/0/smalldata/1,/nvidiagpu/0/load/4,/hdd/0/temperature/0,/hdd/0/load/0
Time,"Fan Control #1","Fan Control #2","Fan Control #3","Fan Control #4","Fan Control #5","CPU VCore","Voltage #2","AVCC","3VCC","Voltage #5","Voltage #7","3VSB","VBAT","VTT","Voltage #11","Voltage #12","Voltage #13","Voltage #14","Voltage #15","CPU Core","Temperature #1","Temperature #2","Temperature #3","Temperature #4","Temperature #5","Temperature #6","Fan #2","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Total","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Cores","CPU Graphics","Bus Speed","Memory","Used Memory","Available Memory","GPU Core","GPU Core","GPU Memory","GPU Shader","GPU Core","GPU Frame Buffer","GPU Video Engine","GPU Bus Interface","GPU Fan","GPU Memory Total","GPU Memory Used","GPU Memory Free","GPU Memory","Temperature","Used Space"
09/25/2020 12:20:54,100,100,100,100,100,0.984,1.008,3.328,3.328,1.04000008,0.808,3.37600017,3.29600024,1.0480001,0.144000009,0.120000005,0.120000005,0.120000005,0.120000005,38.5,36.5,121,37,114,111,32,2288.1355,18.75,7.8125,14.0625,6.25,11.71875,42,47,41,46,47,3600.02515,3700.026,1600.01123,3600.02515,13.91532,8.774378,0,100.0007,52.1573677,4.14493561,3.802044,37,901.451538,2505.58423,1802.90308,12,5,0,4,33,2048,585.8633,1462.13672,28.6066055,36,18.5444489
09/25/2020 12:20:55,100,100,100,100,100,0.968000054,1.008,3.344,3.328,1.04000008,0.808,3.37600017,3.29600024,1.0480001,0.144000009,0.120000005,0.120000005,0.120000005,0.120000005,38,36.5,121,36,114,112,34,2276.55981,9.375,12.5,15.625,17.1875,13.671875,47,48,46,47,48,3600.02417,1600.01074,3700.025,3700.025,15.1993055,10.0509167,0,100.000671,52.17974,4.14671326,3.80026627,38,901.451538,2505.58423,1802.90308,14,5,0,5,33,2048,585.8633,1462.13672,28.6066055,36,18.5444489
09/25/2020 12:20:56,100,100,100,100,100,0.9760001,1.008,3.328,3.328,1.04000008,0.808,3.37600017,3.29600024,1.0480001,0.144000009,0.120000005,0.120000005,0.120000005,0.120000005,37.5,36.5,121,36,114,112,34,2272.72729,25,15.625,9.375,9.375,14.84375,43,47,40,45,47,1600.01111,3600.025,1600.01111,1600.01111,14.852272,9.6818285,0,100.000694,52.1891022,4.147457,3.7995224,37,901.451538,2505.58423,1802.90308,12,5,0,4,33,2048,585.8633,1462.13672,28.6066055,36,18.5444489
09/25/2020 12:20:57,100,100,100,100,100,0.984,1.008,3.344,3.328,1.04000008,0.808,3.37600017,3.29600024,1.0480001,0.144000009,0.120000005,0.120000005,0.120000005,0.120000005,37,36.5,121,36,113,111,32,2284.264,20.3125,9.375,12.5,14.0625,14.0625,43,47,41,46,47,1600.011,3700.02539,3800.02612,3700.02539,14.0486431,8.893437,0,100.000687,52.1868935,4.14728165,3.79969788,38,901.451538,2505.58423,1802.90308,11,5,0,4,33,2048,585.8633,1462.13672,28.6066055,36,18.5444489
09/25/2020 12:20:58,100,100,100,100,100,0.936000049,1.008,3.344,3.328,1.03200006,0.808,3.37600017,3.29600024,1.0480001,0.144000009,0.120000005,0.120000005,0.112,0.120000005,37.5,36.5,120,36,113,111,34,2272.72729,12.5,14.0625,17.1875,12.5,14.0625,43,47,40,46,47,3600.025,3700.02563,3800.02637,3600.025,14.4685049,9.32157,0,100.000694,52.1886673,4.147423,3.79955673,37,901.451538,2505.58423,1802.90308,9,4,0,3,33,2048,585.8633,1462.13672,28.6066055,36,18.5444489
09/25/2020 12:20:59,100,100,100,100,100,0.984,1.008,3.344,3.328,1.04000008,0.808,3.37600017,3.29600024,1.0480001,0.144000009,0.120000005,0.120000005,0.112,0.120000005,38,36.5,121,36,113,111,34,2268.90747,18.75,12.5,9.375,20.3125,15.234375,44,48,40,47,48,3600.025,3700.02563,3600.025,1600.01111,14.381011,9.223932,0,100.000694,52.1889572,4.14744568,3.79953384,37,901.451538,2505.58423,1802.90308,11,4,0,4,33,2048,585.8633,1462.13672,28.6066055,36,18.5444489
09/25/2020 12:21:00,100,100,100,100,100,0.928000033,1.008,3.328,3.328,1.03200006,0.808,3.37600017,3.29600024,1.0480001,0.144000009,0.120000005,0.120000005,0.120000005,0.120000005,38,36.5,120,36,113,112,32,2284.264,15.625,10.9375,15.625,18.75,15.234375,43,46,40,45,46,1600.01086,3700.02515,1600.01086,1600.01086,15.4129553,10.236537,0,100.000679,52.2248154,4.15029526,3.79668427,37,901.451538,2505.58423,1802.90308,11,5,0,3,33,2048,585.8633,1462.13672,28.6066055,36,18.5444489
09/25/2020 12:21:01,100,100,100,100,100,0.968000054,1.008,3.344,3.328,1.04000008,0.808,3.37600017,3.29600024,1.0480001,0.144000009,0.120000005,0.112,0.112,0.120000005,37.5,36.5,121,37,114,111,32,2272.72729,12.5,6.25,6.25,10.9375,8.984375,44,46,41,44,46,1600.01111,3600.02515,3700.02563,3600.02515,14.211,9.103939,0,100.000694,52.2211151,4.15000153,3.796978,37,901.451538,2505.58423,1802.90308,16,6,0,3,33,2048,585.8633,1462.13672,28.6066055,36,18.5444489
09/25/2020 12:21:02,100,100,100,100,100,0.944000065,1.008,3.328,3.328,1.04000008,0.808,3.37600017,3.29600024,1.0480001,0.144000009,0.120000005,0.120000005,0.120000005,0.120000005,37.5,36.5,121,36,113,111,34,2272.72729,14.0625,4.6875,7.8125,18.75,11.328125,42,48,38,46,48,3700.025,3600.02417,3600.02417,1600.01074,14.0289221,8.897616,0,100.000671,52.2192955,4.14985657,3.797123,37,901.451538,2505.58423,1802.90308,14,6,0,3,33,2048,585.8633,1462.13672,28.6066055,36,18.5444489
