,/lpc/nct6779d/control/0,/lpc/nct6779d/control/1,/lpc/nct6779d/control/2,/lpc/nct6779d/control/3,/lpc/nct6779d/control/4,/lpc/nct6779d/voltage/0,/lpc/nct6779d/voltage/1,/lpc/nct6779d/voltage/2,/lpc/nct6779d/voltage/3,/lpc/nct6779d/voltage/4,/lpc/nct6779d/voltage/6,/lpc/nct6779d/voltage/7,/lpc/nct6779d/voltage/8,/lpc/nct6779d/voltage/9,/lpc/nct6779d/voltage/10,/lpc/nct6779d/voltage/11,/lpc/nct6779d/voltage/12,/lpc/nct6779d/voltage/13,/lpc/nct6779d/voltage/14,/lpc/nct6779d/temperature/0,/lpc/nct6779d/temperature/1,/lpc/nct6779d/temperature/2,/lpc/nct6779d/temperature/3,/lpc/nct6779d/temperature/4,/lpc/nct6779d/temperature/5,/lpc/nct6779d/temperature/6,/lpc/nct6779d/fan/1,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/temperature/3,/intelcpu/0/temperature/4,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/clock/3,/intelcpu/0/clock/4,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/nvidiagpu/0/temperature/0,/nvidiagpu/0/clock/0,/nvidiagpu/0/clock/1,/nvidiagpu/0/clock/2,/nvidiagpu/0/load/0,/nvidiagpu/0/load/1,/nvidiagpu/0/load/2,/nvidiagpu/0/load/3,/nvidiagpu/0/control/0,/nvidiagpu/0/smalldata/3,/nvidiagpu/0/smalldata/2,/nvidiagpu/0/smalldata/1,/nvidiagpu/0/load/4,/hdd/0/temperature/0,/hdd/0/load/0
Time,"Fan Control #1","Fan Control #2","Fan Control #3","Fan Control #4","Fan Control #5","CPU VCore","Voltage #2","AVCC","3VCC","Voltage #5","Voltage #7","3VSB","VBAT","VTT","Voltage #11","Voltage #12","Voltage #13","Voltage #14","Voltage #15","CPU Core","Temperature #1","Temperature #2","Temperature #3","Temperature #4","Temperature #5","Temperature #6","Fan #2","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Total","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Cores","CPU Graphics","Bus Speed","Memory","Used Memory","Available Memory","GPU Core","GPU Core","GPU Memory","GPU Shader","GPU Core","GPU Frame Buffer","GPU Video Engine","GPU Bus Interface","GPU Fan","GPU Memory Total","GPU Memory Used","GPU Memory Free","GPU Memory","Temperature","Used Space"
11/17/2020 11:50:52,100,100,100,100,100,0.968000054,1.008,3.344,3.344,1.04000008,0.76000005,3.37600017,3.29600024,1.0480001,0.15200001,0.120000005,0.120000005,0.120000005,0.128,39,38,119,39,112,110,29,2436.823,7.8125,7.8125,10.9375,7.8125,8.59375,41,49,42,49,49,1600.01074,3600.02417,3800.02563,1600.01074,12.8071356,7.70184135,0,100.000671,45.644,3.62731934,4.31966,37,135,405.000031,270,26,22,0,7,33,2048,461.539063,1586.46094,22.536087,40,20.19992
11/17/2020 11:50:53,100,100,100,100,100,0.92,1.008,3.344,3.344,1.04000008,0.76000005,3.37600017,3.29600024,1.0480001,0.15200001,0.120000005,0.120000005,0.120000005,0.120000005,38.5,38,119,39,112,110,29,2432.43237,12.5,6.25,9.375,10.9375,9.765625,47,48,47,48,48,3700.02515,3700.02515,1600.01086,3700.02515,12.6859283,7.602664,0,100.000679,45.6462555,3.62749863,4.319481,37,135,405.000031,270,17,19,0,5,33,2048,461.789063,1586.21094,22.5482941,40,20.19992
11/17/2020 11:50:54,100,100,100,100,100,0.92,1.008,3.344,3.344,1.04000008,0.76000005,3.37600017,3.29600024,1.0480001,0.15200001,0.120000005,0.120000005,0.120000005,0.120000005,39,38,119,39,112,110,29,2454.54541,9.375,9.375,10.9375,4.6875,8.59375,45,49,42,48,49,1600.01086,1600.01086,3800.02563,3700.025,12.97034,7.874085,0,100.000679,45.64659,3.62752533,4.319454,37,135,405.000031,270,25,20,0,5,33,2048,461.789063,1586.21094,22.5482941,40,20.19992
11/17/2020 11:50:55,100,100,100,100,100,0.92,1.008,3.344,3.344,1.04000008,0.76000005,3.37600017,3.29600024,1.0480001,0.144000009,0.128,0.120000005,0.120000005,0.120000005,39,38,119,39,112,110,27,2436.823,6.25,4.6875,7.8125,12.5,7.8125,47,48,46,47,48,1600.011,1600.011,3800.02612,1600.011,12.167141,7.09013462,0,100.000687,45.6473579,3.62758636,4.319393,37,135,405.000031,270,15,17,0,4,33,2048,461.789063,1586.21094,22.5482941,40,20.19992
11/17/2020 11:50:56,100,100,100,100,100,0.9760001,1.008,3.36000013,3.328,1.04000008,0.76000005,3.37600017,3.29600024,1.0480001,0.15200001,0.120000005,0.120000005,0.120000005,0.120000005,39.5,38,119,39,112,110,27,2441.22974,13.6363621,10.6060619,9.090906,10.6060619,10.98485,45,51,43,52,52,1600.01074,3700.025,3700.025,3800.02563,13.0231094,7.929041,0,100.000671,45.64362,3.62728882,4.3196907,37,135,405.000031,270,18,19,0,5,33,2048,462.164063,1585.83594,22.5666046,40,20.19992
11/17/2020 11:50:57,100,100,100,100,100,0.992000043,1.008,3.344,3.328,1.04000008,0.76000005,3.37600017,3.29600024,1.0480001,0.15200001,0.128,0.120000005,0.120000005,0.120000005,39,38,119,39,112,110,29,2459.01636,8.064514,6.45161247,8.064514,9.677422,8.06452,42,48,42,47,48,1600.01086,3600.02441,3600.02441,1600.01086,13.511838,8.38286,0,100.000679,45.6441422,3.62733078,4.31964874,37,135,405.000031,270,25,22,0,6,33,2048,462.601563,1585.39844,22.5879669,40,20.19992
11/17/2020 11:50:58,100,100,100,100,100,0.944000065,1.008,3.344,3.344,1.04000008,0.76000005,3.37600017,3.29600024,1.0480001,0.15200001,0.128,0.120000005,0.120000005,0.120000005,39,38,119,39,112,110,29,2441.22974,1.5625,6.25,6.25,6.25,5.078125,44,48,42,48,48,3600.02466,3600.02466,3800.026,3800.026,12.379385,7.299748,0,100.000687,45.64472,3.62737656,4.319603,37,135,405.000031,270,20,19,0,5,33,2048,462.601563,1585.39844,22.5879669,40,20.19992
11/17/2020 11:50:59,100,100,100,100,100,1,1.008,3.344,3.344,1.04000008,0.76000005,3.37600017,3.29600024,1.0480001,0.15200001,0.128,0.120000005,0.120000005,0.120000005,42.5,38,119,39,112,110,29,2432.43237,50,42.1875,42.1875,48.4375,45.703125,44,51,43,49,51,3600.02441,3600.02441,3600.02441,1600.01074,24.417078,19.0455818,0,100.000671,45.9808273,3.654087,4.29289246,36,135,405.000031,270,53,36,0,7,33,2048,475.7578,1572.24219,23.2303619,40,20.19992
11/17/2020 11:51:00,100,100,100,100,100,0.960000038,1.008,3.328,3.328,1.04000008,0.76000005,3.37600017,3.29600024,1.0480001,0.15200001,0.128,0.120000005,0.120000005,0.120000005,40,38,119,39,112,110,29,2459.01636,12.5,12.5,6.25,17.1875,12.109375,46,52,45,50,50,1600.01074,3800.02563,1600.01074,1600.01074,14.84807,9.685297,0,100.000671,45.9755478,3.65366745,4.293312,37,135,405.000031,270,9,14,0,4,33,2048,475.8203,1572.17969,23.2334137,40,20.19992
11/17/2020 11:51:01,100,100,100,100,100,0.928000033,1.008,3.344,3.344,1.04000008,0.76000005,3.37600017,3.29600024,1.0480001,0.15200001,0.120000005,0.120000005,0.120000005,0.120000005,40,38,119,39,112,110,27,2436.823,23.4375,25,14.0625,6.25,17.1875,44,51,42,48,51,3600.02515,3600.02515,3600.02515,3600.02515,15.58446,10.3946905,0,100.000694,45.9754524,3.65365982,4.2933197,37,135,405.000031,270,29,24,0,6,33,2048,475.8828,1572.11719,23.2364655,40,20.19992
11/17/2020 11:51:02,100,100,100,100,100,0.936000049,1.008,3.344,3.344,1.04000008,0.76000005,3.37600017,3.29600024,1.0480001,0.15200001,0.128,0.120000005,0.120000005,0.120000005,40,38,119,39,112,110,29,2459.01636,17.1875,21.875,17.1875,18.75,18.75,47,48,45,48,48,3700.02539,3600.02466,3600.02466,3800.02612,15.801507,10.6183357,0,100.000687,45.74514,3.635357,4.31162262,36,135,405.000031,270,14,16,0,6,33,2048,473.789063,1574.21094,23.1342316,40,20.19992
