,/lpc/nct6779d/control/0,/lpc/nct6779d/control/1,/lpc/nct6779d/control/2,/lpc/nct6779d/control/3,/lpc/nct6779d/control/4,/lpc/nct6779d/voltage/0,/lpc/nct6779d/voltage/1,/lpc/nct6779d/voltage/2,/lpc/nct6779d/voltage/3,/lpc/nct6779d/voltage/4,/lpc/nct6779d/voltage/6,/lpc/nct6779d/voltage/7,/lpc/nct6779d/voltage/8,/lpc/nct6779d/voltage/9,/lpc/nct6779d/voltage/10,/lpc/nct6779d/voltage/11,/lpc/nct6779d/voltage/12,/lpc/nct6779d/voltage/13,/lpc/nct6779d/voltage/14,/lpc/nct6779d/temperature/0,/lpc/nct6779d/temperature/1,/lpc/nct6779d/temperature/2,/lpc/nct6779d/temperature/3,/lpc/nct6779d/temperature/4,/lpc/nct6779d/temperature/5,/lpc/nct6779d/temperature/6,/lpc/nct6779d/fan/1,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/temperature/3,/intelcpu/0/temperature/4,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/clock/3,/intelcpu/0/clock/4,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/nvidiagpu/0/temperature/0,/nvidiagpu/0/clock/0,/nvidiagpu/0/clock/1,/nvidiagpu/0/clock/2,/nvidiagpu/0/load/0,/nvidiagpu/0/load/1,/nvidiagpu/0/load/2,/nvidiagpu/0/load/3,/nvidiagpu/0/control/0,/nvidiagpu/0/smalldata/3,/nvidiagpu/0/smalldata/2,/nvidiagpu/0/smalldata/1,/nvidiagpu/0/load/4,/hdd/0/temperature/0,/hdd/0/load/0
Time,"Fan Control #1","Fan Control #2","Fan Control #3","Fan Control #4","Fan Control #5","CPU VCore","Voltage #2","AVCC","3VCC","Voltage #5","Voltage #7","3VSB","VBAT","VTT","Voltage #11","Voltage #12","Voltage #13","Voltage #14","Voltage #15","CPU Core","Temperature #1","Temperature #2","Temperature #3","Temperature #4","Temperature #5","Temperature #6","Fan #2","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Total","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Cores","CPU Graphics","Bus Speed","Memory","Used Memory","Available Memory","GPU Core","GPU Core","GPU Memory","GPU Shader","GPU Core","GPU Frame Buffer","GPU Video Engine","GPU Bus Interface","GPU Fan","GPU Memory Total","GPU Memory Used","GPU Memory Free","GPU Memory","Temperature","Used Space"
11/19/2020 15:58:50,100,100,100,100,100,1.088,1.008,3.328,3.328,1.04000008,0.808,3.37600017,3.29600024,1.0480001,0.144000009,0.120000005,0.120000005,0.112,0.120000005,38.5,36.5,121,36,114,111,32,2198.697,12.5,14.0625,4.6875,9.375,10.15625,46,51,42,48,51,3600.02441,3600.02441,3600.02441,3600.02441,15.4687014,10.3884659,0,100.000679,51.0495872,4.0569,3.8900795,37,901.451538,2505.58423,1802.90308,2,2,32,14,33,2048,580.875,1467.125,28.3630371,36,21.177597
11/19/2020 15:58:51,100,100,100,100,100,0.9760001,1.008,3.328,3.328,1.03200006,0.808,3.37600017,3.29600024,1.0480001,0.144000009,0.120000005,0.120000005,0.120000005,0.120000005,40.5,36.5,121,36,113,111,32,2198.697,20.3125,26.5625,31.25,26.5625,26.171875,46,48,40,45,48,3600.02515,3700.02563,3700.02563,1600.01111,17.76514,12.5832758,0,100.000694,50.9471474,4.04875946,3.89822,37,901.451538,2505.58423,1802.90308,3,3,32,15,33,2048,583.625,1464.375,28.4973145,36,21.177597
11/19/2020 15:58:52,100,100,100,100,100,0.92,1.008,3.328,3.328,1.04000008,0.816000044,3.37600017,3.29600024,1.0480001,0.144000009,0.120000005,0.120000005,0.120000005,0.120000005,38.5,36.5,120,36,113,112,32,2198.697,10.9375,12.5,12.5,15.625,12.890625,44,45,39,44,48,1600.01086,1600.01086,3700.02515,3700.02515,13.2818718,8.216179,0,100.000679,50.93443,4.04774857,3.899231,37,901.451538,2505.58423,1802.90308,1,2,32,14,33,2048,583.625,1464.375,28.4973145,36,21.177597
11/19/2020 15:58:53,100,100,100,100,100,0.960000038,1.008,3.344,3.328,1.03200006,0.816000044,3.37600017,3.29600024,1.0480001,0.144000009,0.120000005,0.120000005,0.120000005,0.120000005,38.5,36.5,120,36,113,112,32,2202.284,4.6875,7.8125,9.375,9.375,7.8125,43,46,40,45,47,3600.024,3800.02515,3800.02515,1600.01062,12.1067152,7.07608271,0,100.000664,50.90241,4.045204,3.90177536,37,901.451538,2505.58423,1802.90308,1,2,32,14,33,2048,583.625,1464.375,28.4973145,36,21.177597
11/19/2020 15:58:54,100,100,100,100,100,0.8880001,1.008,3.328,3.328,1.04000008,0.808,3.37600017,3.29600024,1.0480001,0.144000009,0.120000005,0.120000005,0.120000005,0.120000005,38.5,36.5,121,36,113,112,32,2202.284,6.25,10.9375,15.625,6.25,9.765625,45,48,42,46,48,1600.011,1600.011,3800.026,3800.026,12.21818,7.18242931,0,100.000687,50.9008255,4.04507828,3.90190125,37,901.451538,2505.58423,1802.90308,1,2,32,14,33,2048,583.625,1464.375,28.4973145,36,21.177597
11/19/2020 15:58:55,100,100,100,100,100,0.91200006,1.008,3.328,3.328,1.04000008,0.816000044,3.37600017,3.29600024,1.0480001,0.144000009,0.120000005,0.120000005,0.120000005,0.120000005,39,36.5,121,36,113,111,32,2198.697,6.25,12.5,17.1875,14.0625,12.5,43,47,42,43,47,3700.02515,3700.02515,3600.02441,3700.02515,14.2437305,9.177443,0,100.000679,50.8969421,4.04476929,3.90221024,37,901.451538,2505.58423,1802.90308,1,2,33,14,33,2048,583.625,1464.375,28.4973145,36,21.177597
11/19/2020 15:58:56,100,100,100,100,100,0.91200006,1.008,3.328,3.328,1.04000008,0.808,3.37600017,3.29600024,1.0480001,0.144000009,0.120000005,0.120000005,0.120000005,0.120000005,39.5,36.5,120,36,113,111,32,2202.284,4.6875,12.5,14.0625,10.9375,10.546875,45,49,45,48,49,3700.02515,1600.01086,1600.01086,1600.01086,14.3720665,9.3164835,0,100.000679,50.8963661,4.04472351,3.902256,37,901.451538,2505.58423,1802.90308,2,2,33,15,33,2048,583.6953,1464.30469,28.5007477,36,21.177597
11/19/2020 15:58:57,100,100,100,100,100,0.904000044,1.008,3.344,3.328,1.04000008,0.816000044,3.37600017,3.29600024,1.0480001,0.144000009,0.120000005,0.120000005,0.120000005,0.120000005,38.5,36.5,120,36,113,111,34,2209.49268,9.375,17.1875,6.25,6.25,9.765625,45,51,43,47,51,3600.024,3600.024,3600.024,3600.024,13.1536674,8.099868,0,100.000664,50.7942162,4.036606,3.91037369,37,901.451538,2505.58423,1802.90308,1,2,33,14,33,2048,583.6953,1464.30469,28.5007477,36,21.177597
11/19/2020 15:58:58,100,100,100,100,100,0.936000049,1.008,3.328,3.328,1.03200006,0.816000044,3.37600017,3.29600024,1.0480001,0.144000009,0.120000005,0.120000005,0.120000005,0.120000005,39,36.5,121,36,114,111,34,2202.284,4.6875,10.9375,12.5,10.9375,9.765625,47,49,44,47,49,1600.01135,3700.02612,1600.01135,3800.02686,13.8124466,8.742314,0,100.00071,50.7853851,4.035904,3.91107559,37,901.451538,2505.58423,1802.90308,1,2,33,15,33,2048,583.6953,1464.30469,28.5007477,36,21.177597
