,/lpc/nct6779d/control/0,/lpc/nct6779d/control/1,/lpc/nct6779d/control/2,/lpc/nct6779d/control/3,/lpc/nct6779d/control/4,/lpc/nct6779d/voltage/0,/lpc/nct6779d/voltage/1,/lpc/nct6779d/voltage/2,/lpc/nct6779d/voltage/3,/lpc/nct6779d/voltage/4,/lpc/nct6779d/voltage/6,/lpc/nct6779d/voltage/7,/lpc/nct6779d/voltage/8,/lpc/nct6779d/voltage/9,/lpc/nct6779d/voltage/10,/lpc/nct6779d/voltage/11,/lpc/nct6779d/voltage/12,/lpc/nct6779d/voltage/13,/lpc/nct6779d/voltage/14,/lpc/nct6779d/temperature/0,/lpc/nct6779d/temperature/1,/lpc/nct6779d/temperature/2,/lpc/nct6779d/temperature/3,/lpc/nct6779d/temperature/4,/lpc/nct6779d/temperature/5,/lpc/nct6779d/temperature/6,/lpc/nct6779d/fan/1,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/temperature/3,/intelcpu/0/temperature/4,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/clock/3,/intelcpu/0/clock/4,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/nvidiagpu/0/temperature/0,/nvidiagpu/0/clock/0,/nvidiagpu/0/clock/1,/nvidiagpu/0/clock/2,/nvidiagpu/0/load/0,/nvidiagpu/0/load/1,/nvidiagpu/0/load/2,/nvidiagpu/0/load/3,/nvidiagpu/0/control/0,/nvidiagpu/0/smalldata/3,/nvidiagpu/0/smalldata/2,/nvidiagpu/0/smalldata/1,/nvidiagpu/0/load/4,/hdd/0/temperature/0,/hdd/0/load/0
Time,"Fan Control #1","Fan Control #2","Fan Control #3","Fan Control #4","Fan Control #5","CPU VCore","Voltage #2","AVCC","3VCC","Voltage #5","Voltage #7","3VSB","VBAT","VTT","Voltage #11","Voltage #12","Voltage #13","Voltage #14","Voltage #15","CPU Core","Temperature #1","Temperature #2","Temperature #3","Temperature #4","Temperature #5","Temperature #6","Fan #2","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Total","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Cores","CPU Graphics","Bus Speed","Memory","Used Memory","Available Memory","GPU Core","GPU Core","GPU Memory","GPU Shader","GPU Core","GPU Frame Buffer","GPU Video Engine","GPU Bus Interface","GPU Fan","GPU Memory Total","GPU Memory Used","GPU Memory Free","GPU Memory","Temperature","Used Space"
09/24/2020 13:33:33,100,100,100,100,100,1.088,1.008,3.328,3.328,1.04000008,0.8,3.37600017,3.29600024,1.0480001,0.144000009,0.120000005,0.120000005,0.120000005,0.120000005,51,41,121,37,113,111,34,2327.58618,59.375,59.375,64.0625,64.0625,61.71875,55,62,53,55,62,3600.02441,3600.02441,3600.02441,3600.02441,31.756094,25.8870411,0,100.000679,51.510498,4.09352875,3.85345078,35,202.500015,405.000031,405.000031,69,57,0,9,33,2048,645.5117,1402.48828,31.5191269,37,18.4648285
09/24/2020 13:33:34,100,100,100,100,100,1.08,1.008,3.328,3.328,1.04000008,0.8,3.37600017,3.29600024,1.0480001,0.144000009,0.120000005,0.120000005,0.120000005,0.120000005,51,41,120,37,113,111,32,2323.58,51.5625,54.6875,53.125,59.375,54.6875,55,61,54,56,61,3600.02417,3600.02417,3600.02417,3600.02417,31.07504,25.1722755,0,100.000671,51.5388222,4.09577942,3.8512,34,231.428513,405.000031,462.857025,89,71,0,14,33,2048,645.5117,1402.48828,31.5191269,37,18.4648285
09/24/2020 13:33:35,100,100,100,100,100,1.088,1,3.328,3.31200027,1.04000008,0.8,3.37600017,3.29600024,1.0480001,0.144000009,0.120000005,0.120000005,0.120000005,0.120000005,51,41,121,37,114,111,32,2327.58618,60.9375,64.0625,64.0625,75,66.015625,54,61,54,57,61,3600.02515,3600.02515,3600.02515,3600.02515,32.7479134,26.7783718,0,100.000694,51.66511,4.105816,3.84116364,34,231.428513,405.000031,462.857025,32,30,0,7,33,2048,645.5117,1402.48828,31.5191269,37,18.46566
09/24/2020 13:33:36,100,100,100,100,100,1.072,1.008,3.31200027,3.31200027,1.03200006,0.8,3.3920002,3.29600024,1.0480001,0.144000009,0.120000005,0.120000005,0.120000005,0.120000005,52.5,41,121,37,114,111,32,2331.6062,75,79.6875,85.9375,79.6875,80.078125,58,62,58,58,62,3600.02417,3600.02417,3600.02417,3600.02417,35.41985,29.4914589,0,100.000671,51.77806,4.114792,3.83218765,35,901.451538,2505.58423,1802.90308,18,10,0,6,33,2048,652.8867,1395.11328,31.8792343,37,18.46566
09/24/2020 13:33:37,100,100,100,100,100,1.08,1.008,3.328,3.31200027,1.03200006,0.8,3.37600017,3.29600024,1.0480001,0.144000009,0.120000005,0.120000005,0.120000005,0.120000005,51.5,41,121,37,113,111,34,2331.6062,53.125,68.75,54.6875,53.125,57.421875,56,59,52,56,59,3600.025,3600.025,3600.025,3600.025,32.14442,26.2578468,0,100.000694,51.7666855,4.113888,3.83309174,35,901.451538,2505.58423,1802.90308,13,8,0,3,33,2048,648.3242,1399.67578,31.656456,37,18.46566
09/24/2020 13:33:38,100,100,100,100,100,1.088,1.008,3.31200027,3.31200027,1.03200006,0.8,3.3920002,3.29600024,1.0480001,0.144000009,0.120000005,0.120000005,0.120000005,0.120000005,51.5,41,120,37,113,111,32,2331.6062,62.5,64.0625,60.9375,71.875,64.84375,56,60,55,57,60,3600.025,3600.025,3600.025,3600.025,32.54512,26.6121,0,100.000694,51.8576965,4.12112045,3.825859,35,901.451538,2505.58423,1802.90308,12,7,0,5,33,2048,648.6992,1399.30078,31.6747665,37,18.46566
09/24/2020 13:33:39,100,100,100,100,100,1.088,1.008,3.328,3.31200027,1.03200006,0.8,3.37600017,3.29600024,1.0480001,0.144000009,0.120000005,0.120000005,0.120000005,0.120000005,51,41,121,37,114,112,32,2327.58618,60.9375,60.9375,68.75,54.6875,61.328125,55,61,56,55,61,3600.025,3600.025,3600.025,3600.025,32.35926,26.4134426,0,100.000694,51.95005,4.12846,3.81851959,36,901.451538,2505.58423,1802.90308,16,8,0,6,33,2048,648.8242,1399.17578,31.68087,37,18.46566
09/24/2020 13:33:40,100,100,100,100,100,1.08,1.008,3.31200027,3.31200027,1.03200006,0.8,3.37600017,3.29600024,1.0480001,0.144000009,0.120000005,0.120000005,0.120000005,0.120000005,52,41,120,37,113,111,32,2327.58618,78.125,81.25,75,75,77.34375,56,60,56,57,60,3600.02441,3600.02441,3600.02441,3600.02441,34.5556,28.49033,0,100.000679,51.9509621,4.12853241,3.818447,35,901.451538,2505.58423,1802.90308,20,9,0,8,33,2048,659.3867,1388.61328,32.1966171,37,18.46566
09/24/2020 13:33:41,100,100,100,100,100,1.088,1.008,3.328,3.31200027,1.03200006,0.8,3.37600017,3.29600024,1.0480001,0.144000009,0.120000005,0.120000005,0.120000005,0.120000005,50.5,41.5,120,37,113,111,32,2331.6062,62.5,57.8125,54.6875,60.9375,58.984375,55,59,54,57,59,3600.02539,3600.02539,3600.02539,3600.02539,31.1235123,25.2025928,0,100.00071,51.99868,4.132324,3.8146553,35,901.451538,2505.58423,1802.90308,15,7,0,7,33,2048,659.3867,1388.61328,32.1966171,37,18.46566
09/24/2020 13:33:42,100,100,100,100,100,0.960000038,1.008,3.328,3.328,1.04000008,0.8,3.37600017,3.29600024,1.0480001,0.144000009,0.120000005,0.120000005,0.120000005,0.120000005,50,41.5,121,37,114,111,34,2331.6062,53.125,59.375,53.125,56.25,55.46875,53,57,51,52,57,1600.01111,3600.025,3600.025,3600.025,29.42604,23.54167,0,100.000694,51.7523346,4.112747,3.83423233,36,901.451538,2505.58423,1802.90308,16,8,0,6,33,2048,659.3867,1388.61328,32.1966171,37,18.46566
09/24/2020 13:33:43,100,100,100,100,100,1.056,1.008,3.328,3.328,1.04000008,0.8,3.3920002,3.29600024,1.0480001,0.144000009,0.120000005,0.120000005,0.120000005,0.120000005,47.5,41.5,120,37,113,111,32,2335.64014,37.5,39.0625,25,32.8125,33.59375,52,57,50,53,57,1600.01074,3600.02417,3600.02417,3600.02417,24.6320171,18.8429222,0,100.000671,51.8556328,4.12095642,3.826023,36,901.451538,2505.58423,1802.90308,18,9,0,7,33,2048,659.3867,1388.61328,32.1966171,37,18.46566
09/24/2020 13:33:44,100,100,100,100,100,1.08,1.008,3.328,3.328,1.03200006,0.8,3.37600017,3.29600024,1.0480001,0.144000009,0.120000005,0.120000005,0.120000005,0.120000005,47.5,41.5,120,37,114,111,32,2335.64014,48.4375,43.75,34.375,46.875,43.359375,57,60,53,58,59,3600.02515,3600.02515,3600.02515,3600.02515,26.3341541,20.4963951,0,100.000694,51.70745,4.10918045,3.837799,36,901.451538,2505.58423,1802.90308,17,8,0,6,33,2048,658.089844,1389.91016,32.1332932,37,18.46566
09/24/2020 13:33:45,100,100,100,100,100,1.016,1.008,3.328,3.328,1.04000008,0.8,3.37600017,3.29600024,1.0480001,0.144000009,0.120000005,0.120000005,0.120000005,0.120000005,48.5,41.5,120,37,113,111,32,2335.64014,54.6875,51.5625,54.6875,56.25,54.296875,56,59,54,54,59,3600.02441,3600.02441,1600.01086,3600.02441,28.0115356,22.1316643,0,100.000679,52.23307,4.15095139,3.79602814,36,901.451538,2505.58423,1802.90308,15,8,0,6,33,2048,658.527344,1389.47266,32.1546555,37,18.46566
09/24/2020 13:33:46,100,100,100,100,100,0.928000033,1.008,3.328,3.31200027,1.04000008,0.8,3.37600017,3.29600024,1.0480001,0.144000009,0.120000005,0.120000005,0.112,0.120000005,48.5,41.5,121,37,113,111,34,2331.6062,48.4375,40.625,48.4375,60.9375,49.609375,56,58,54,56,58,1600.011,3600.02466,3600.02466,3600.02466,28.1808739,22.3371964,0,100.000687,52.3376656,4.15926361,3.787716,36,901.451538,2505.58423,1802.90308,15,8,0,6,33,2048,674.96875,1373.03125,32.95746,37,18.46566
09/24/2020 13:33:47,100,100,100,100,100,1.056,1.008,3.328,3.328,1.03200006,0.8,3.37600017,3.29600024,1.0480001,0.144000009,0.120000005,0.120000005,0.120000005,0.120000005,48.5,41.5,121,37,114,111,32,2335.64014,42.1875,39.0625,43.75,39.0625,41.015625,54,59,53,54,59,3600.02539,3600.02539,3600.02539,3600.02539,27.1101837,21.2806759,0,100.00071,52.4361649,4.16709137,3.77988815,36,901.451538,2505.58423,1802.90308,12,6,0,5,33,2048,674.96875,1373.03125,32.95746,37,18.46566
09/24/2020 13:33:48,100,100,100,100,100,1.064,1,3.328,3.328,1.04000008,0.8,3.37600017,3.29600024,1.0480001,0.144000009,0.120000005,0.120000005,0.120000005,0.120000005,49.5,41.5,121,37,114,111,32,2335.64014,57.8125,67.1875,53.125,56.25,58.59375,56,60,55,56,60,3600.02368,3600.02368,3600.02368,3600.02368,30.6817551,24.7526379,0,100.000656,52.7124176,4.189045,3.75793457,36,901.451538,2505.58423,1802.90308,17,8,0,6,33,2048,674.96875,1373.03125,32.95746,37,18.46566
09/24/2020 13:33:49,100,100,100,100,100,1.024,1.008,3.328,3.328,1.03200006,0.8,3.37600017,3.29600024,1.0480001,0.144000009,0.120000005,0.120000005,0.120000005,0.120000005,49,41.5,121,37,114,111,32,2335.64014,59.375,54.6875,48.4375,56.25,54.6875,54,58,54,55,58,1600.01135,3600.02563,3600.02563,3600.02563,28.9494553,23.0474644,0,100.00071,52.65678,4.18462372,3.7623558,36,901.451538,2505.58423,1802.90308,11,6,0,5,33,2048,675.40625,1372.59375,32.97882,37,18.46566
09/24/2020 13:33:50,100,100,100,100,100,1.072,1.008,3.31200027,3.31200027,1.04000008,0.8,3.37600017,3.29600024,1.0480001,0.144000009,0.120000005,0.120000005,0.120000005,0.120000005,48.5,41.5,121,37,114,112,32,2331.6062,50,42.1875,39.0625,37.5,42.1875,56,58,54,57,59,3600.02417,3600.02417,3600.02417,3600.02417,27.0994244,21.2957516,0,100.000671,52.6868324,4.18701172,3.7599678,36,901.451538,2505.58423,1802.90308,22,10,0,9,33,2048,675.40625,1372.59375,32.97882,37,18.46566
09/24/2020 13:39:16,100,100,100,100,100,1.064,1.008,3.328,3.328,1.04000008,0.792000055,3.37600017,3.29600024,1.0480001,0.144000009,0.120000005,0.120000005,0.120000005,0.120000005,44.5,40.5,120,37,114,111,32,2327.58618,40.625,45.3125,31.25,32.8125,37.5,50,55,48,51,55,3600.02466,3600.02466,3600.02466,3600.02466,23.2439442,17.6921558,0,100.000687,56.2450142,4.46978,3.47719955,36,731.612549,2505.58423,1463.2251,13,6,0,4,33,2048,731.9844,1316.01563,35.7414246,37,18.4885788
09/24/2020 13:39:17,100,100,100,100,100,1.08,1.008,3.328,3.328,1.04000008,0.792000055,3.37600017,3.29600024,1.0480001,0.144000009,0.120000005,0.120000005,0.120000005,0.120000005,44,40.5,120,37,114,111,32,2327.58618,31.25,32.8125,39.0625,29.6875,33.203125,49,51,46,50,53,3600.025,3700.02563,3600.025,1600.01111,21.41053,15.9227,0,100.000694,55.5466843,4.41428375,3.53269577,36,731.612549,2505.58423,1463.2251,12,6,0,3,33,2048,731.9844,1316.01563,35.7414246,37,18.4885788
09/24/2020 13:39:18,100,100,100,100,100,0.9760001,1.008,3.328,3.328,1.04000008,0.792000055,3.37600017,3.29600024,1.0480001,0.144000009,0.120000005,0.120000005,0.120000005,0.120000005,44,40.5,121,37,114,111,32,2327.58618,20.3125,29.6875,10.9375,29.6875,22.65625,50,53,46,52,53,1600.01086,1600.01086,3600.02441,3600.02441,19.8897877,14.4548788,0,100.000679,55.531662,4.41308975,3.53388977,36,731.612549,2505.58423,1463.2251,10,6,0,3,33,2048,731.9844,1316.01563,35.7414246,37,18.4885788
09/24/2020 13:39:19,100,100,100,100,100,0.952,1.008,3.328,3.328,1.04000008,0.792000055,3.37600017,3.29600024,1.0480001,0.144000009,0.120000005,0.120000005,0.120000005,0.120000005,45,40.5,120,37,113,111,34,2343.75,35.9375,34.375,28.125,35.9375,33.59375,52,58,52,54,58,3600.02466,3600.02466,3600.02466,3600.02466,21.7382488,16.24793,0,100.000687,55.5270538,4.41272354,3.534256,36,731.612549,2505.58423,1463.2251,12,6,0,4,33,2048,731.9844,1316.01563,35.7414246,37,18.4885788
09/24/2020 13:39:20,100,100,100,100,100,0.968000054,1.008,3.344,3.328,1.04000008,0.792000055,3.37600017,3.29600024,1.0480001,0.144000009,0.120000005,0.120000005,0.120000005,0.120000005,43.5,40.5,121,37,113,111,32,2335.64014,23.4375,31.25,25,23.4375,25.78125,52,54,49,52,54,1600.01123,1600.01123,3600.02539,3600.02539,20.2023,14.7377062,0,100.0007,55.5109253,4.411442,3.53553772,36,731.612549,2505.58423,1463.2251,7,5,0,1,33,2048,731.9844,1316.01563,35.7414246,37,18.4885788
09/24/2020 13:39:21,100,100,100,100,100,1.04000008,1.008,3.344,3.328,1.04000008,0.792000055,3.37600017,3.29600024,1.0480001,0.144000009,0.120000005,0.120000005,0.120000005,0.120000005,44,40.5,121,37,114,111,32,2339.688,28.125,31.25,20.3125,31.25,27.734375,53,54,53,50,54,3700.02539,3700.02539,3600.02466,3600.02466,20.8311386,15.3641376,0,100.000687,55.51097,4.41144562,3.535534,36,731.612549,2505.58423,1463.2251,12,7,0,3,33,2048,731.9844,1316.01563,35.7414246,37,18.4885788
09/24/2020 13:39:22,100,100,100,100,100,1.024,1.008,3.328,3.328,1.04000008,0.792000055,3.37600017,3.29600024,1.0480001,0.144000009,0.120000005,0.120000005,0.120000005,0.120000005,43.5,40.5,120,37,113,111,32,2339.688,25,23.4375,10.9375,21.875,20.3125,50,51,46,48,51,3600.024,3600.024,3700.02466,3700.02466,19.2655354,13.8460121,0,100.000664,55.50958,4.411335,3.53564453,36,731.612549,2505.58423,1463.2251,10,6,0,3,33,2048,731.9844,1316.01563,35.7414246,37,18.4885788
09/24/2020 13:39:23,100,100,100,100,100,1,1.008,3.328,3.328,1.04000008,0.792000055,3.37600017,3.29600024,1.0480001,0.144000009,0.120000005,0.120000005,0.120000005,0.120000005,44.5,40.5,121,37,113,111,32,2339.688,35.9375,29.6875,32.8125,35.9375,33.59375,47,55,48,51,55,3600.02612,1600.0116,3600.02612,3600.02612,22.4175434,16.9280319,0,100.000725,55.5195656,4.41212845,3.534851,36,731.612549,2505.58423,1463.2251,10,6,0,2,33,2048,731.9844,1316.01563,35.7414246,37,18.4885788
09/24/2020 13:39:24,100,100,100,100,100,0.992000043,1.008,3.344,3.328,1.04000008,0.792000055,3.37600017,3.29600024,1.0480001,0.144000009,0.120000005,0.120000005,0.120000005,0.120000005,43.5,40.5,120,37,113,111,32,2339.688,37.5,23.4375,25,29.6875,28.90625,51,54,49,53,55,3600.023,3600.023,3600.023,3600.023,19.89284,14.4351444,0,100.000641,55.5115967,4.411495,3.53548431,35,270,405.000031,540,41,36,0,7,33,2048,733.2969,1314.70313,35.80551,37,18.4885788
09/24/2020 13:39:25,100,100,100,100,100,0.936000049,1.008,3.328,3.328,1.04000008,0.792000055,3.37600017,3.29600024,1.0480001,0.144000009,0.120000005,0.120000005,0.120000005,0.120000005,42.5,40.5,120,37,113,111,32,2351.91626,15.625,26.5625,29.6875,25,24.21875,49,52,47,50,52,3700.02661,3600.026,3600.026,3600.026,19.1224461,13.6918755,0,100.000717,55.5114555,4.411484,3.53549576,35,270,405.000031,540,24,25,0,5,33,2048,733.3594,1314.64063,35.8085632,37,18.4885788
09/24/2020 13:39:26,100,100,100,100,100,1.064,1.008,3.328,3.31200027,1.04000008,0.792000055,3.37600017,3.29600024,1.0480001,0.144000009,0.120000005,0.120000005,0.120000005,0.120000005,46,40.5,121,37,114,111,32,2335.64014,48.4375,50,32.8125,48.4375,44.921875,52,55,51,54,55,1600.011,1600.011,3600.02466,3600.02466,25.54144,19.9283314,0,100.000687,55.635685,4.421356,3.52562332,35,270,405.000031,540,59,47,0,4,33,2048,742.7969,1305.20313,36.26938,37,18.4885788
09/24/2020 13:39:27,100,100,100,100,100,1.04000008,1.008,3.344,3.328,1.04000008,0.792000055,3.37600017,3.29600024,1.0480001,0.144000009,0.120000005,0.120000005,0.120000005,0.120000005,44,40.5,120,37,113,111,32,2331.6062,37.5,46.875,42.1875,42.1875,42.1875,50,54,48,50,54,3600.025,3700.02539,3700.02539,1600.011,23.452961,17.9040623,0,100.000687,55.64672,4.42223358,3.524746,35,270,405.000031,540,65,49,0,8,33,2048,741.0469,1306.95313,36.18393,37,18.4885788
09/24/2020 13:39:28,100,100,100,100,100,1.072,1.008,3.328,3.31200027,1.03200006,0.792000055,3.37600017,3.29600024,1.0480001,0.144000009,0.120000005,0.120000005,0.120000005,0.120000005,49.5,40.5,120,37,113,111,34,2331.6062,82.8125,81.25,82.8125,76.5625,80.859375,55,60,55,58,60,3600.02344,3600.02344,3600.02344,1600.01038,33.92181,28.1056747,0,100.000648,55.99685,4.450058,3.49692154,35,270,405.000031,540,54,44,0,3,33,2048,747.7344,1300.26563,36.5104675,37,18.4885788
09/24/2020 13:39:29,100,100,100,100,100,1.024,1.008,3.328,3.328,1.04000008,0.792000055,3.3920002,3.29600024,1.0480001,0.144000009,0.120000005,0.120000005,0.120000005,0.120000005,45,40.5,121,37,113,111,32,2331.6062,45.3125,34.375,35.9375,32.8125,37.109375,51,54,50,54,54,3600.02661,3600.02661,3600.02661,3600.02661,24.5937119,18.98355,0,100.00074,56.0489769,4.45420074,3.49277878,35,270,405.000031,540,63,49,0,4,33,2048,743.7344,1304.26563,36.315155,37,18.4885788
09/24/2020 13:39:30,100,100,100,100,100,0.928000033,1.008,3.328,3.31200027,1.03200006,0.792000055,3.37600017,3.29600024,1.0480001,0.144000009,0.120000005,0.120000005,0.120000005,0.120000005,47,40.5,121,37,113,111,32,2327.58618,57.8125,53.125,53.125,64.0625,57.03125,52,57,52,53,58,3600.02441,3600.02441,3600.02441,3600.02441,28.6480179,22.9881649,0,100.000679,56.383503,4.48078537,3.46619415,35,901.451538,2505.58423,1802.90308,12,7,0,4,33,2048,750.375,1297.625,36.6394043,37,18.4885788
09/24/2020 13:39:31,100,100,100,100,100,1.08,1.008,3.328,3.31200027,1.03200006,0.792000055,3.37600017,3.29600024,1.0480001,0.144000009,0.120000005,0.120000005,0.112,0.120000005,46,40.5,121,37,113,111,32,2327.58618,34.375,45.3125,48.4375,43.75,42.96875,51,54,52,52,54,3700.02563,1600.01111,3600.025,3600.025,27.6032486,21.95518,0,100.000694,56.9544373,4.52615738,3.42082214,36,901.451538,2505.58423,1802.90308,9,5,0,3,33,2048,783.96875,1264.03125,38.2797241,37,18.4885788
09/24/2020 13:39:32,100,100,100,100,100,1.016,1.008,3.31200027,3.31200027,1.03200006,0.792000055,3.37600017,3.29600024,1.0480001,0.144000009,0.120000005,0.120000005,0.120000005,0.120000005,45.5,40.5,120,37,113,111,32,2327.58618,51.5625,45.3125,43.75,51.5625,48.046875,49,53,47,50,53,3700.02515,3600.02466,3600.02466,3700.02515,27.5249557,21.87795,0,100.000679,57.0084877,4.53045273,3.41652679,36,901.451538,2505.58423,1802.90308,5,3,0,1,33,2048,792.53125,1255.46875,38.6978149,37,18.4885788
09/24/2020 13:39:33,100,100,100,100,100,1.04000008,1,3.328,3.31200027,1.04000008,0.792000055,3.37600017,3.29600024,1.0480001,0.144000009,0.120000005,0.120000005,0.120000005,0.120000005,45.5,40.5,120,37,113,111,32,2331.6062,43.75,43.75,32.8125,35.9375,39.0625,52,55,50,53,55,3600.02466,3600.02466,3600.02466,3600.02466,26.2327919,20.61957,0,100.000687,57.0549,4.53414154,3.412838,35,270,405.000031,540,36,33,0,5,33,2048,792.28125,1255.71875,38.6856079,37,18.4885788
09/24/2020 13:39:34,100,100,100,100,100,1.04000008,1.008,3.328,3.328,1.04000008,0.792000055,3.37600017,3.29600024,1.0480001,0.144000009,0.120000005,0.120000005,0.120000005,0.120000005,44.5,40.5,121,37,114,111,32,2331.6062,35.9375,35.9375,26.5625,29.6875,32.03125,50,55,49,50,55,3600.02466,3600.02466,3600.02466,3700.02539,22.6285038,17.0946827,0,100.000687,57.7848663,4.59215164,3.354828,35,270,405.000031,540,32,29,0,8,33,2048,792.28125,1255.71875,38.6856079,37,18.4885788
09/24/2020 13:39:35,100,100,100,100,100,1.016,1.008,3.344,3.328,1.04000008,0.792000055,3.37600017,3.29600024,1.0480001,0.144000009,0.120000005,0.120000005,0.120000005,0.120000005,44,40.5,120,37,113,111,32,2335.64014,28.125,35.9375,32.8125,25,30.46875,49,51,48,50,53,3600.02539,1600.01135,3700.02612,3600.02539,20.7197361,15.2673235,0,100.00071,57.8778,4.599537,3.34744263,35,231.428513,405.000031,462.857025,29,27,0,5,33,2048,778.78125,1269.21875,38.02643,37,18.4885788
09/24/2020 13:39:36,100,100,100,100,100,1.04000008,1.008,3.328,3.328,1.04000008,0.792000055,3.37600017,3.29600024,1.0480001,0.144000009,0.120000005,0.120000005,0.120000005,0.120000005,44,40.5,121,37,114,111,32,2343.75,28.125,28.125,26.5625,21.875,26.171875,50,57,51,53,57,3600.02417,3600.02417,3600.02417,3600.02417,21.11268,15.6466761,0,100.000671,56.90255,4.52203369,3.42494583,35,231.428513,405.000031,462.857025,31,28,0,5,33,2048,778.78125,1269.21875,38.02643,37,18.4885178
09/24/2020 13:39:37,100,100,100,100,100,1.08,1.008,3.328,3.31200027,1.03200006,0.792000055,3.37600017,3.29600024,1.0480001,0.144000009,0.120000005,0.120000005,0.120000005,0.120000005,49,40.5,120,37,114,111,32,2335.64014,54.6875,59.375,62.5,71.875,62.109375,54,58,55,59,59,3600.02466,3600.02466,3600.02466,3600.02466,30.9834328,25.2683029,0,100.000687,57.07929,4.53607941,3.4109,35,231.428513,405.000031,462.857025,20,21,0,3,33,2048,778.78125,1269.21875,38.02643,37,18.4885178
09/24/2020 13:39:38,100,100,100,100,100,1.008,1.008,3.328,3.328,1.04000008,0.792000055,3.37600017,3.29600024,1.0480001,0.144000009,0.120000005,0.120000005,0.120000005,0.120000005,46,40.5,121,37,114,111,32,2339.688,48.4375,48.4375,42.1875,54.6875,48.4375,50,56,50,54,56,3600.02441,3600.02441,3600.02441,3700.02515,26.5466976,20.97351,0,100.000679,57.06724,4.535122,3.4118576,35,135,405.000031,270,25,22,0,5,33,2048,778.78125,1269.21875,38.02643,37,18.4885178
09/24/2020 13:39:39,100,100,100,100,100,0.992000043,1.008,3.344,3.328,1.04000008,0.792000055,3.37600017,3.29600024,1.0480001,0.144000009,0.120000005,0.120000005,0.120000005,0.120000005,45.5,40.5,120,37,113,111,32,2347.82617,35.9375,37.5,40.625,45.3125,39.84375,49,53,48,51,53,3600.02515,3600.02515,3600.02515,1600.01123,24.7853851,19.2220364,0,100.0007,57.3385963,4.5566864,3.39029312,35,135,405.000031,270,37,27,0,8,33,2048,778.78125,1269.21875,38.02643,37,18.4885178
09/24/2020 13:39:40,100,100,100,100,100,1.0480001,1.008,3.328,3.328,1.04000008,0.792000055,3.3920002,3.29600024,1.0480001,0.144000009,0.120000005,0.120000005,0.120000005,0.120000005,44.5,40.5,121,37,113,111,32,2347.82617,34.375,32.8125,32.8125,31.25,32.8125,51,56,51,52,54,3600.02148,3700.02222,3600.02148,3600.02148,22.24198,16.75667,0,100.000595,57.30154,4.55374146,3.393238,35,135,405.000031,270,40,29,0,8,33,2048,778.78125,1269.21875,38.02643,37,18.4885178
09/24/2020 13:39:41,100,100,100,100,100,1.08,1.008,3.328,3.328,1.04000008,0.792000055,3.37600017,3.29600024,1.0480001,0.144000009,0.120000005,0.120000005,0.120000005,0.120000005,44,40.5,121,37,113,111,32,2347.82617,32.8125,32.8125,34.375,39.0625,34.765625,49,53,49,53,53,3600.028,3600.028,3600.028,1600.01245,22.7539921,17.248888,0,100.000778,57.1101074,4.53852844,3.408451,35,135,405.000031,270,25,21,0,5,33,2048,778.78125,1269.21875,38.02643,37,18.4885178
09/24/2020 13:39:42,100,100,100,100,100,0.984,1.008,3.344,3.328,1.04000008,0.792000055,3.37600017,3.29600024,1.0480001,0.144000009,0.120000005,0.120000005,0.120000005,0.120000005,45,40.5,120,37,113,111,32,2343.75,39.0625,46.875,37.5,54.6875,44.53125,47,52,50,51,53,3600.02539,3600.02539,3600.02539,3700.02612,25.1686974,19.5617085,0,100.0007,57.20011,4.545681,3.40129852,35,135,405.000031,270,18,17,0,5,33,2048,780.09375,1267.90625,38.0905151,37,18.4885178
