,/lpc/nct6779d/control/0,/lpc/nct6779d/control/1,/lpc/nct6779d/control/2,/lpc/nct6779d/control/3,/lpc/nct6779d/control/4,/lpc/nct6779d/voltage/0,/lpc/nct6779d/voltage/1,/lpc/nct6779d/voltage/2,/lpc/nct6779d/voltage/3,/lpc/nct6779d/voltage/4,/lpc/nct6779d/voltage/6,/lpc/nct6779d/voltage/7,/lpc/nct6779d/voltage/8,/lpc/nct6779d/voltage/9,/lpc/nct6779d/voltage/10,/lpc/nct6779d/voltage/11,/lpc/nct6779d/voltage/12,/lpc/nct6779d/voltage/13,/lpc/nct6779d/voltage/14,/lpc/nct6779d/temperature/0,/lpc/nct6779d/temperature/1,/lpc/nct6779d/temperature/2,/lpc/nct6779d/temperature/3,/lpc/nct6779d/temperature/4,/lpc/nct6779d/temperature/5,/lpc/nct6779d/temperature/6,/lpc/nct6779d/fan/1,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/temperature/3,/intelcpu/0/temperature/4,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/clock/3,/intelcpu/0/clock/4,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/nvidiagpu/0/temperature/0,/nvidiagpu/0/clock/0,/nvidiagpu/0/clock/1,/nvidiagpu/0/clock/2,/nvidiagpu/0/load/0,/nvidiagpu/0/load/1,/nvidiagpu/0/load/2,/nvidiagpu/0/load/3,/nvidiagpu/0/control/0,/nvidiagpu/0/smalldata/3,/nvidiagpu/0/smalldata/2,/nvidiagpu/0/smalldata/1,/nvidiagpu/0/load/4,/hdd/0/temperature/0,/hdd/0/load/0
Time,"Fan Control #1","Fan Control #2","Fan Control #3","Fan Control #4","Fan Control #5","CPU VCore","Voltage #2","AVCC","3VCC","Voltage #5","Voltage #7","3VSB","VBAT","VTT","Voltage #11","Voltage #12","Voltage #13","Voltage #14","Voltage #15","CPU Core","Temperature #1","Temperature #2","Temperature #3","Temperature #4","Temperature #5","Temperature #6","Fan #2","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Total","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Cores","CPU Graphics","Bus Speed","Memory","Used Memory","Available Memory","GPU Core","GPU Core","GPU Memory","GPU Shader","GPU Core","GPU Frame Buffer","GPU Video Engine","GPU Bus Interface","GPU Fan","GPU Memory Total","GPU Memory Used","GPU Memory Free","GPU Memory","Temperature","Used Space"
10/09/2020 14:55:31,100,100,100,100,100,0.944000065,1.008,3.344,3.328,1.04000008,0.8,3.37600017,3.29600024,1.0480001,0.144000009,0.120000005,0.120000005,0.120000005,0.120000005,38,36,120,37,113,111,32,2347.82617,10.9375,10.9375,12.5,12.5,11.71875,47,48,44,47,48,3600.02759,3700.02832,3600.02759,3700.02832,13.2185879,8.044665,0,100.000763,51.5980072,4.100483,3.84649658,39,901.451538,2505.58423,1802.90308,9,3,0,4,33,2048,572.03125,1475.96875,27.9312134,36,19.638916
10/09/2020 14:55:32,100,100,100,100,100,0.91200006,1.008,3.328,3.328,1.04000008,0.8,3.37600017,3.29600024,1.0480001,0.144000009,0.120000005,0.120000005,0.120000005,0.120000005,38.5,36,120,37,113,111,32,2339.688,4.6875,18.75,9.375,10.9375,10.9375,42,49,39,44,49,1600.01233,3700.02856,1600.01233,1600.01233,13.1291323,7.95239353,0,100.000771,51.59916,4.10057449,3.846405,39,901.451538,2505.58423,1802.90308,26,8,0,6,33,2048,571.96875,1476.03125,27.9281616,36,19.638916
10/09/2020 14:55:33,100,100,100,100,100,1.08,1.008,3.328,3.328,1.03200006,0.8,3.37600017,3.29600024,1.0480001,0.144000009,0.120000005,0.120000005,0.120000005,0.120000005,39,36,120,37,113,111,32,2339.688,17.1875,25,26.5625,21.875,22.65625,45,48,42,45,48,1600.01233,1600.01233,3700.02856,1600.01233,16.3177929,11.1366863,0,100.000771,51.6763,4.10670471,3.84027481,39,901.451538,2505.58423,1802.90308,10,4,0,5,33,2048,571.21875,1476.78125,27.89154,36,19.638916
10/09/2020 14:55:34,100,100,100,100,100,1.0480001,1.008,3.344,3.328,1.03200006,0.8,3.37600017,3.29600024,1.0480001,0.144000009,0.120000005,0.120000005,0.120000005,0.120000005,38.5,36,120,37,113,111,31,2347.82617,7.8125,14.0625,7.8125,6.25,8.984375,43,49,38,45,49,1600.01233,1600.01233,3700.02856,3600.02783,12.9766865,7.81594944,0,100.000771,51.6747131,4.106579,3.8404007,39,901.451538,2505.58423,1802.90308,16,5,0,6,33,2048,562.96875,1485.03125,27.4887085,36,19.638916
10/09/2020 14:55:35,100,100,100,100,100,0.92,1.008,3.328,3.328,1.04000008,0.8,3.37600017,3.29600024,1.0480001,0.144000009,0.120000005,0.120000005,0.120000005,0.120000005,38,36,120,37,113,111,32,2347.82617,12.5,14.0625,4.6875,4.6875,8.984375,43,48,40,44,48,1600.01221,3700.02832,3800.029,3600.02734,13.0128813,7.86651659,0,100.000763,51.6149979,4.10183334,3.84514618,39,901.451538,2505.58423,1802.90308,11,4,0,6,33,2048,562.96875,1485.03125,27.4887085,36,19.638916
10/09/2020 14:55:36,100,100,100,100,100,0.968000054,1.008,3.344,3.328,1.03200006,0.8,3.37600017,3.29600024,1.0480001,0.144000009,0.120000005,0.120000005,0.120000005,0.120000005,39,36,121,37,113,111,32,2343.75,9.375,15.625,10.9375,7.8125,10.9375,45,47,42,46,47,1600.01245,3700.02881,3700.02881,3600.028,13.5192289,8.312613,0,100.000778,51.61341,4.10170746,3.845272,39,731.612549,2505.58423,1463.2251,14,3,0,6,33,2048,562.96875,1485.03125,27.4887085,36,19.638916
10/09/2020 14:55:37,100,100,100,100,100,0.944000065,1.008,3.328,3.328,1.03200006,0.8,3.37600017,3.29600024,1.0480001,0.144000009,0.120000005,0.120000005,0.120000005,0.120000005,39,36,120,37,113,111,32,2351.91626,9.375,10.9375,9.523809,6.25,9.02158,43,48,43,46,48,3600.02783,3600.02783,3700.02856,3800.0293,12.9172983,7.76374054,0,100.000771,51.61207,4.10160065,3.84537888,39,731.612549,2505.58423,1463.2251,13,4,0,6,33,2048,562.96875,1485.03125,27.4887085,36,19.638916
10/09/2020 14:55:38,100,100,100,100,100,0.936000049,1.008,3.344,3.328,1.04000008,0.8,3.37600017,3.29600024,1.0480001,0.144000009,0.120000005,0.120000005,0.120000005,0.120000005,38,36,121,37,113,111,32,2356.021,10.9375,12.5,10.76923,10.9375,11.2860565,43,47,41,45,47,1600.01221,3700.02832,3600.02759,1600.01221,13.1599569,7.964347,0,100.000763,51.61044,4.101471,3.84550858,39,731.612549,2505.58423,1463.2251,24,6,0,10,33,2048,562.96875,1485.03125,27.4887085,36,19.638916
10/09/2020 14:55:39,100,100,100,100,100,0.944000065,1.008,3.344,3.328,1.04000008,0.8,3.37600017,3.29600024,1.0480001,0.144000009,0.120000005,0.120000005,0.120000005,0.120000005,37.5,36,120,37,113,111,31,2335.64014,4.6875,7.8125,9.375,6.25,7.03125,44,45,41,44,45,1600.01245,1600.01245,3700.02856,3800.02954,12.05453,6.939107,0,100.000778,51.6022758,4.10082245,3.846157,39,731.612549,2505.58423,1463.2251,10,3,0,4,33,2048,562.96875,1485.03125,27.4887085,36,19.638916
